00:10:10.116 [main] INFO  org.eclipse.jetty.util.log  - Logging initialized @8782ms to org.eclipse.jetty.util.log.Slf4jLog
00:10:29.351 [nREPL-worker-0] INFO  org.eclipse.jetty.server.Server  - jetty-9.4.10.v20180503; built: 2018-05-03T15:56:21.710Z; git: daa59876e6f384329b122929e70a80934569428c; jvm 1.8.0_162-b12
00:10:29.422 [nREPL-worker-0] INFO  o.e.j.server.handler.ContextHandler  - Started o.e.j.s.ServletContextHandler@487c1a5c{/,null,AVAILABLE}
00:10:29.478 [nREPL-worker-0] INFO  o.e.jetty.server.AbstractConnector  - Started ServerConnector@ebc7f59{HTTP/1.1,[http/1.1, h2c]}{localhost:3701}
00:10:29.480 [nREPL-worker-0] INFO  org.eclipse.jetty.server.Server  - Started @28154ms
00:10:29.764 [qtp1641085064-27] INFO  io.pedestal.http  - {:msg "GET /", :line 80}
00:10:29.769 [qtp1641085064-27] INFO  io.pedestal.http.cors  - {:msg "cors request processing", :origin "", :allowed true, :line 84}
00:10:29.776 [qtp1641085064-27] INFO  io.pedestal.http.cors  - {:msg "cors response processing", :cors-headers {"Access-Control-Allow-Origin" "", "Access-Control-Allow-Credentials" "true", "Access-Control-Expose-Headers" "Strict-Transport-Security, X-Frame-Options, X-Content-Type-Options, X-Xss-Protection, X-Download-Options, X-Permitted-Cross-Domain-Policies, Content-Security-Policy"}, :line 111}
00:10:38.245 [qtp1641085064-21] INFO  io.pedestal.http  - {:msg "GET /db", :line 80}
00:10:38.246 [qtp1641085064-21] INFO  io.pedestal.http.cors  - {:msg "cors request processing", :origin "", :allowed true, :line 84}
00:10:38.252 [qtp1641085064-21] INFO  io.pedestal.http.cors  - {:msg "cors response processing", :cors-headers {"Access-Control-Allow-Origin" "", "Access-Control-Allow-Credentials" "true", "Access-Control-Expose-Headers" "Strict-Transport-Security, X-Frame-Options, X-Content-Type-Options, X-Xss-Protection, X-Download-Options, X-Permitted-Cross-Domain-Policies, Content-Security-Policy"}, :line 111}
00:10:41.202 [qtp1641085064-26] INFO  io.pedestal.http  - {:msg "GET /db/schema", :line 80}
00:10:41.202 [qtp1641085064-26] INFO  io.pedestal.http.cors  - {:msg "cors request processing", :origin "", :allowed true, :line 84}
00:10:43.324 [qtp1641085064-26] INFO  io.pedestal.http.cors  - {:msg "cors response processing", :cors-headers {"Access-Control-Allow-Origin" "", "Access-Control-Allow-Credentials" "true", "Access-Control-Expose-Headers" "Strict-Transport-Security, X-Frame-Options, X-Content-Type-Options, X-Xss-Protection, X-Download-Options, X-Permitted-Cross-Domain-Policies, Content-Security-Policy"}, :line 111}
